time,alert_status,blocker_violations,bugs,class_complexity,classes,code_smells,comment_lines,comment_lines_density,commit.id,complexity,complexity_in_classes,complexity_in_functions,confirmed_issues,coverage,critical_violations,development_cost,directories,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,file_complexity,file_complexity_distribution,files,function_complexity,function_complexity_distribution,functions,info_violations,last_commit_date,line_coverage,lines,lines_to_cover,major_violations,minor_violations,ncloc,ncloc_language_distribution,open_issues,quality_gate_details,quality_profiles,reliability_rating,reliability_remediation_effort,reopened_issues,security_rating,security_remediation_effort,skipped_tests,sqale_debt_ratio,sqale_index,sqale_rating,statements,test_errors,test_execution_time,test_failures,test_success_density,tests,uncovered_lines,url,violations,vulnerabilities,wont_fix_issues
2015-07-30T10:34:22Z,0,94,1915,8,1566,5642,17342,15.7,ba8d6120d55860b47ce76862d0facb0bd513309b,12459,12459,11620,0,0,1035,0,185,948,243,10809,6.8,0,0,10.5,0,1190,1.7,0,6901,95,1.43815E+12,0,158431,49711,2200,4527,92809,0,7951,0,0,5,24889,0,5,5435,,1.4,39907,1,39200,,,,,,49711,https://github.com/apache/apex-malhar.git,7951,394,0
2008-07-13T06:39:28Z,0,11,618,9.5,736,3475,17693,19.7,3348f27be061eab0e0d9c1712eb45346650a734e,6997,6997,6983,0,0,1630,0,145,1404,166,24418,21.1,0,0,9.8,0,712,1.5,0,4738,266,1.21548E+12,0,115533,42574,1325,1111,71986,0,4343,0,0,5,8273,0,5,5425,,2.1,46301,1,37771,,,,,,42574,https://github.com/apache/archiva.git,4343,250,0
2011-02-28T10:48:31Z,0,0,48,6.5,33,93,338,18,445d7bb8397971c9fa1bc559c7cd20c609bc89da,215,215,213,0,0,18,0,5,0,0,0,0,0,0,6.9,0,31,1.7,0,122,1,1.29889E+12,0,2925,829,71,51,1541,0,141,0,0,3,680,0,1,0,,1,444,1,632,,,,,,829,https://github.com/apache/aries.git,141,0,0
2011-06-03T03:09:06Z,0,15,446,6.9,616,1236,1657,5,522b8dbf47b51794c866011dd42826f907262e8d,4221,4221,3653,0,0,351,0,105,375,64,4905,10.6,0,0,8.2,0,514,1.5,0,2476,41,1.30707E+12,0,46297,16946,840,558,31237,0,1805,0,0,5,6053,0,2,1300,,1.5,13661,1,12898,,,,,,16946,https://github.com/apache/asterixdb.git,1805,123,0
2016-06-10T14:07:34Z,0,11,285,6.7,1098,1293,6041,8.8,2ec26451127afe479c3e7301af598452e22f9252,7401,7401,6093,0,0,229,0,134,73,28,1081,1.1,0,0,10.3,0,719,1.2,0,5122,134,1.46533E+12,0,96866,31999,646,568,62854,0,1588,0,0,5,3881,0,5,275,,0.6,11539,1,20405,,,,,,31999,https://github.com/apache/aurora.git,1588,10,0
2013-02-21T21:13:58Z,0,44,1134,11.3,810,3645,6924,11.8,bce7288b1ec5bec012ef4d7252f0ebe714ee188b,9878,9181,9729,0,0,552,0,92,281,75,5415,6,0,0,21.1,0,532,1.9,,5081,38,1.36148E+12,0,89628,29802,1902,2347,51698,0,4883,0,0,5,14436,0,5,1435,,1.4,22475,1,24756,,,,,,29802,https://github.com/apache/avro.git,4883,104,0
2016-01-18T21:31:45Z,0,180,9091,15.6,3703,25067,63982,16.2,f488e1ccf35749a561da628bb1397de1bc8d91c5,57592,57592,56502,0,0,5947,0,716,3391,796,94145,16.8,0,0,18.4,0,3126,2.3,0,24452,859,1.45303E+12,0,561457,204001,14691,13434,330855,0,35111,0,0,5,108150,0,5,13325,,2.2,217575,1,161620,,,,,,204001,https://github.com/apache/axis2-java.git,35111,953,0
2017-03-30T01:34:07Z,0,33,338,5.6,262,823,731,5.2,5a2a1a86b17f73260229137b0b008385fd32bfae,1461,1461,1415,0,0,244,0,69,60,25,873,4.1,0,0,6.2,0,236,1.6,0,907,11,1.49029E+12,0,21396,7093,535,415,13209,0,1238,0,0,5,5367,0,5,1085,,2,7890,1,5388,,,,,,7093,https://github.com/apache/bigtop.git,1238,77,0
2013-10-02T13:37:05Z,0,71,1046,13,969,6039,10973,12.6,16c7a1c3da07952a329f75fea95f43563d6173f0,12631,12631,11388,0,0,570,0,75,441,65,7512,6.8,0,0,28.3,0,446,1.7,0,6869,51,1.38071E+12,0,110808,43138,2677,3915,76008,0,7284,0,0,5,13987,0,5,2605,,1.6,35698,1,34302,,,,,,43138,https://github.com/apache/bookkeeper.git,7284,199,0
2015-09-01T15:15:43Z,0,0,0,,,0,,,9abac78aeb8ad39cf9c1104462d46f0af45a9c37,,,,0,,0,0,,0,0,0,,0,0,,,,,,,0,,,,,0,0,,,0,0,,1,0,0,1,0,,0,0,1,,,,,,,,https://github.com/apache/brooklyn-server.git,0,0,0
2013-11-25T00:11:56Z,0,66,1860,13.5,1469,6182,31450,19.3,0bf85074c89fb99f6b20993f37e56f3b9d4bd610,19770,19770,18946,0,0,1255,0,67,149,46,2569,1.2,0,0,24.6,0,805,1.8,0,10317,273,1.38531E+12,0,212515,79113,3514,3036,131111,0,8144,0,0,5,17363,0,5,1220,,1,39025,1,46230,,,,,,79113,https://github.com/apache/calcite.git,8144,102,0
2011-10-13T17:52:33Z,0,423,3177,7.5,6830,12056,36802,10.4,cfe49e9e0dae0ea2bb696c31e456093721d8ab96,51160,51160,45671,0,0,5336,0,693,4218,1675,65012,11.7,0,0,8.6,0,5983,1.4,0,32914,241,1.31851E+12,0,557720,164037,6010,3842,317586,0,15852,0,0,5,40814,0,5,15415,,1.6,147886,1,129999,,,,,,164037,https://github.com/apache/camel.git,15852,619,0
2011-11-29T08:21:06Z,0,66,3745,20.3,1163,9562,14390,10.9,af4a8f6c032fda97ded514766687b6ba6e2a67ad,23667,23667,23102,0,0,1150,0,80,1103,85,22868,13.7,0,0,34.1,0,694,2.2,0,10282,85,1.32221E+12,0,167176,64633,5437,7476,117663,0,14214,0,0,5,45117,0,5,18345,,1.6,57955,1,56636,,,,,,64633,https://github.com/apache/cassandra.git,14214,907,0
2007-10-28T20:42:08Z,0,69,2109,10.9,2541,6556,21329,12,6923ffc339fc7df934684db46dc72b9b84a661a5,27673,27673,26772,0,0,1832,0,203,783,250,14979,5.5,0,0,12.5,0,2216,1.7,0,15337,447,1.1935E+12,0,274631,90887,3707,2744,156600,0,8799,0,0,5,23015,0,5,2075,,1.4,63548,1,70516,,,,,,90887,https://github.com/apache/cayenne.git,8799,134,0
2014-04-14T22:58:46Z,0,55,1288,17.8,1231,6188,18358,13,2363fec56dbf831cc53f8f4df24c1dec9648feac,21945,21945,20774,0,0,1391,0,121,576,187,17227,8.7,0,0,22.1,0,992,2.1,0,9927,39,1.39642E+12,0,199008,73066,2901,3183,123218,0,7569,0,0,5,13650,0,5,1430,,1.8,67023,1,63145,,,,,,73066,https://github.com/apache/chemistry-opencmis.git,7569,93,0
2015-01-20T03:33:36Z,0,53,1208,10.8,398,2478,2400,7.4,994d45524107d0622f4bc4f03b3b37f61807d932,4285,4285,4262,0,0,521,0,75,287,76,5914,13.4,0,0,12.3,0,347,1.8,0,2315,60,1.24589E+12,0,44167,18746,1615,1700,29902,0,3949,0,0,5,13632,0,5,2980,,2.2,20101,1,14724,,,,,,18746,https://github.com/apache/chukwa.git,3949,263,0
2013-04-01T18:25:01Z,0,0,0,,,0,,,2b89c6b495ef5260587ebd047874212a3da6312d,,,,0,,0,0,,0,0,0,,0,0,,,,,,,0,,,,,0,0,,,0,0,,1,0,0,1,0,,0,0,1,,,,,,,,https://github.com/apache/clerezza.git,0,0,0
2016-08-08T14:06:21Z,0,474,9967,15.3,6014,37628,96424,14.6,a63db21d16072821a1e27473813fddf36accfdd4,92062,92062,90033,0,0,9753,0,935,4879,1223,74804,9,0,0,18,0,5121,1.8,0,50750,1899,1.46674E+12,0,826573,294392,13324,24003,565267,0,49453,0,0,5,111411,0,5,42510,,1.7,290910,1,253573,,,,,,294392,https://github.com/apache/cloudstack.git,49453,1858,0
2006-07-31T21:54:22Z,0,0,0,,,0,,,6b8139302de5107850eb3f11f7c8c238be5c0c28,,,,0,,0,0,,0,0,0,,0,0,,,,,,,0,,,,,0,0,,,0,0,,1,0,0,1,0,,0,0,1,,,,,,,,https://github.com/apache/cocoon.git,0,0,0
2012-09-10T13:38:56Z,0,2,331,17.8,121,624,5414,25.9,6be034a93ed1b3f8c6ac1638eafa3ff154bfc1f3,2158,2158,2105,0,0,227,0,12,141,21,1915,7,0,0,20.6,0,105,1.9,0,1083,25,1.34722E+12,0,27279,11448,369,332,15511,0,955,0,0,5,4060,0,1,0,,1.5,7210,1,7097,,,,,,11448,https://github.com/apache/commons-codec.git,955,0,0
2009-09-15T06:11:12Z,0,35,2114,16,664,4227,23286,29.1,bc1bc3e88322b63a9f48fada8b211c23afe08a0b,10630,10630,10336,0,0,445,0,23,501,130,13715,12.3,0,0,22.7,0,469,1.6,0,6563,38,1.24528E+12,0,111761,36928,3562,2281,56626,0,6361,0,0,5,20172,0,2,290,,1.7,28759,1,31357,,,,,,36928,https://github.com/apache/commons-collections.git,6361,20,0
2016-03-30T13:12:33Z,0,21,454,17.6,314,1423,9647,22.6,ff38bf57378c7cae8617b3c8df692a5ffbe7b83f,5527,5527,5377,0,0,461,0,43,301,43,3850,6.6,0,0,21,0,263,2.1,0,2576,41,1.4591E+12,0,58186,21718,741,628,33037,0,1892,0,0,5,6022,0,4,195,,1.5,15340,1,16597,,,,,,21718,https://github.com/apache/commons-compress.git,1892,15,0
2016-07-25T08:54:08Z,0,0,96,8.3,86,242,2288,31.1,782ca06a1f9a292756fbad9eb9841e685cd34af1,714,714,710,0,0,26,0,15,8,6,242,2.2,0,0,8.7,0,82,1.5,0,488,10,1.46917E+12,0,11112,2880,177,127,5062,0,340,0,0,3,1304,0,2,25,,1.4,2159,1,2101,,,,,,2880,https://github.com/apache/commons-crypto.git,340,2,0
2014-07-15T18:15:07Z,0,1,128,26.2,28,190,1197,22.6,0ae402197cc67e0e103aaa1feb72a2e13faa5897,734,734,717,0,0,69,0,3,8,4,129,1.9,0,0,29.4,0,25,2,0,360,14,1.40545E+12,0,6826,2738,175,59,4109,0,318,0,0,5,2122,0,1,0,,1.1,1408,1,2129,,,,,,2738,https://github.com/apache/commons-csv.git,318,0,0
2014-11-03T00:20:36Z,0,0,112,10.4,53,229,1498,30.8,52b861cbe114682c2f5e3792ea1226047ec116a6,550,550,548,0,0,49,0,8,2,1,36,0.5,0,0,11.2,0,49,1.7,0,327,4,1.41497E+12,0,7505,2005,216,77,3358,0,346,0,0,4,1824,0,2,80,,1.7,1682,1,1632,,,,,,2005,https://github.com/apache/commons-exec.git,346,5,0
2011-09-19T16:09:16Z,0,3,693,9.5,300,1064,4237,24,462d2fa943cdc8ca9bc3e46848d954fde38cc60f,2842,2842,2726,0,0,139,0,23,45,32,775,2.9,0,0,10.6,0,269,1.3,0,2100,3,1.1859E+12,0,26998,7562,569,1054,13406,0,1768,0,0,5,5122,0,2,110,,1.6,6244,1,5430,,,,,,7562,https://github.com/apache/commons-functor.git,1768,11,0
2013-11-01T05:14:17Z,0,11,568,13.4,480,4422,5699,12.9,05317b20135f5b42727fd5f9192aa90b022280c8,6419,6419,6269,0,0,501,0,71,198,55,3059,5.2,0,0,16.2,0,396,2.6,0,2424,50,1.38325E+12,0,58970,23954,1424,3029,38362,0,5015,0,0,5,4772,0,2,275,,2.5,28352,1,17172,,,,,,23954,https://github.com/apache/commons-imaging.git,5015,25,0
2011-09-29T12:44:53Z,0,12,547,16.1,215,1112,10428,32,6b5be79e80c75b2e884891e2fd95a3bb0b5f5c55,3463,3463,3425,0,0,405,0,14,171,34,2808,6.3,0,0,18.4,0,188,1.6,0,2145,25,1.31577E+12,0,44387,15114,722,548,22127,0,1712,0,0,5,5739,0,2,760,,1.7,11157,1,12216,,,,,,15114,https://github.com/apache/commons-io.git,1712,53,0
2011-07-24T03:06:46Z,0,34,529,11.2,355,1806,10961,27.9,d1a4a66335e352566a1f20a058fb430a8107564e,3989,3989,3940,0,0,340,0,92,113,54,4946,8.9,0,0,12.5,0,319,1.7,0,2337,59,1.10991E+12,0,55350,13004,1189,802,28375,0,2424,0,0,5,6617,0,5,1080,,1.5,12886,1,10167,,,,,,13004,https://github.com/apache/commons-jcs.git,2424,89,0
2011-11-15T07:20:23Z,0,12,1552,21.9,394,2592,24879,32,915946c9dcc80a6a16745b86540b82b2ddba1720,8622,8622,8529,0,0,728,0,25,460,45,4785,4.8,0,0,39.6,0,218,1.8,0,4659,28,1.32091E+12,0,100638,38336,2076,1340,52840,0,4184,0,0,4,17354,0,2,460,,1.7,26496,1,31727,,,,,,38336,https://github.com/apache/commons-lang.git,4184,40,0
2014-04-29T19:10:36Z,0,17,2455,15.8,1808,6917,70286,27.3,79e8de7c4645b3577f249e330c0652ca34ad8176,28655,28655,27463,0,0,1320,0,153,1978,416,54011,16,0,0,19.5,0,1467,1.9,0,14116,347,1.39867E+12,0,338373,128282,3769,3924,187462,0,9377,0,0,5,23546,0,2,70,,1.2,67908,1,89299,,,,,,128282,https://github.com/apache/commons-math.git,9377,5,0
2014-04-07T18:50:52Z,0,2,39,4,187,150,866,12.5,1027fac2b6927c1e5b2c3f25408da54634d37e46,754,754,703,0,0,40,0,32,2,2,56,0.5,0,0,7.3,0,104,1.1,0,628,0,1.39689E+12,0,10653,2267,62,87,6038,0,191,0,0,4,720,0,2,30,,0.5,853,1,1690,,,,,,2267,https://github.com/apache/commons-proxy.git,191,2,0
2015-01-01T16:59:18Z,0,11,307,14.2,143,768,7032,33.5,f79a8a1268ca9b4db63c3f8aebee962c90bf138d,2396,2035,2391,0,0,279,0,11,250,40,2833,9.4,0,0,16.1,0,149,2,,1216,28,1.42013E+12,0,30091,9459,347,466,13985,0,1131,0,0,5,3533,0,4,1620,,2,8390,1,7432,,,,,,9459,https://github.com/apache/commons-validator.git,1131,56,0
2016-05-12T02:43:33Z,0,10,388,10.9,423,989,8394,20.2,818cbaab74998cdc7699f17c809353c6db85737b,4630,4630,4520,0,0,209,0,63,58,21,1124,1.9,0,0,12.4,0,373,1.5,0,2926,90,1.46302E+12,0,59518,13696,729,364,33184,0,1402,0,0,5,5484,0,4,335,,0.8,7839,1,11073,,,,,,13696,https://github.com/apache/commons-vfs.git,1402,25,0
2014-09-12T20:31:01Z,0,9,335,18.2,198,997,3390,17.7,4645a457172124536bb8c964798c654e1abb16af,3610,3610,3434,0,0,145,0,13,27,7,321,1.2,0,0,25.6,0,141,2.2,0,1594,110,1.41055E+12,0,25726,8914,638,479,15724,0,1381,0,0,5,3339,0,2,580,,1.2,5515,1,7384,,,,,,8914,https://github.com/apache/cordova-amazon-fireos.git,1381,49,0
2016-11-02T21:43:47Z,0,0,3,2.5,2,6,46,35.9,dd416cc8079dc472e13e7392afe0cbe3cc43b859,5,5,5,0,0,2,0,1,0,0,0,0,0,0,2.5,0,2,1,0,5,0,1.47751E+12,0,210,52,5,4,82,0,11,0,0,3,30,0,2,20,,3,74,1,34,,,,,,52,https://github.com/apache/cordova-plugin-compat.git,11,2,0
2017-03-03T00:42:02Z,0,0,58,37.9,7,96,297,15.6,8a0a69dcbc2db6c51b2b5b327cf4fbd9c1fda050,265,265,183,0,0,25,0,2,18,4,618,26.5,0,0,53,0,5,3.1,0,59,1,1.48398E+12,0,2334,1002,75,53,1605,0,154,0,0,3,597,0,1,0,,2.1,1004,1,886,,,,,,1002,https://github.com/apache/cordova-plugin-inappbrowser.git,154,0,0
2017-03-01T01:41:27Z,0,0,5,16,2,9,5,3.8,03bb9cbd44f1111612db6a2cd7b3fc115c1a7b03,32,32,32,0,0,8,0,1,0,0,0,0,0,0,32,0,1,2,0,16,0,1.4719E+12,0,162,69,0,6,126,0,14,0,0,2,45,0,1,0,,2.5,96,1,59,,,,,,69,https://github.com/apache/cordova-plugin-whitelist.git,14,0,0
2015-07-30T19:31:50Z,0,3,419,7.8,941,1865,4300,8.5,90c21be6604faffe1b2d1a7567beea950c654856,7362,7362,6872,0,0,293,0,103,179,70,3720,5,0,0,11.7,0,630,1.4,0,4809,42,1.43814E+12,0,74131,22033,728,1278,46214,0,2344,0,0,5,6881,0,2,795,,1,13479,1,17119,,,,,,22033,https://github.com/apache/crunch.git,2344,60,0
2011-10-17T20:00:52Z,0,0,145,7.2,143,274,904,9.3,c13846a68fcbf4d9061e334f6f5ca25149a2bc23,1029,1029,837,0,0,84,0,20,13,7,233,1.7,0,0,8.2,0,126,1.3,0,663,4,1.31888E+12,0,14068,3517,196,147,8824,0,431,0,0,3,2133,0,2,175,,0.8,2233,1,2862,,,,,,3517,https://github.com/apache/curator.git,431,12,0
2012-10-05T18:28:48Z,0,132,7986,12.4,5519,18525,30345,6.9,046c9bc10f1c59a1ffe09f56ce242ebb45ae2692,69006,68622,68334,0,0,5626,0,971,3252,985,51466,8.1,0,0,15,0,4603,2,,34161,514,1.34945E+12,0,631657,239716,12233,8674,411748,0,27179,0,0,5,92090,0,5,8095,,1.4,173552,1,194955,,,,,,239716,https://github.com/apache/cxf.git,27179,668,0
2015-12-06T16:03:56Z,0,4,468,4.5,1862,1973,7269,9.3,7c2f99813a9c8a0a55f6120b0495b2f046ffac3f,8335,8335,8185,0,0,527,0,397,583,166,7498,5.9,0,0,5.3,0,1569,1.4,0,5650,156,1.44923E+12,0,127367,25088,834,926,70918,0,2447,0,0,5,6002,0,5,95,,0.9,18375,1,19670,,,,,,25088,https://github.com/apache/deltaspike.git,2447,6,0
2014-04-16T01:48:28Z,0,3300,14756,28.6,3230,48505,251576,27.9,c36334a5539d45aa0389ea4c358640400f512e83,92495,92495,91648,0,0,10169,0,223,4677,591,109447,9.1,0,0,31,0,2986,2.1,0,42836,253,1.39587E+12,0,1205456,421506,24082,27382,651206,0,65186,0,0,5,156388,0,5,27965,,2.1,417499,1,284796,,,,,,421506,https://github.com/apache/derby.git,65186,1925,0
2013-09-11T11:42:26Z,0,0,134,9.8,170,552,3051,19.2,beac17b4b4897b12e4293b21109a37ad5e6fa7fa,1668,1668,1645,0,0,85,0,46,87,24,1955,9.5,0,0,9.9,0,169,1.3,0,1225,18,1.37819E+12,0,20679,5657,269,345,12869,0,717,0,0,3,1782,0,2,410,,1.2,4821,1,4499,,,,,,5657,https://github.com/apache/directmemory.git,717,31,0
2016-03-06T17:12:27Z,0,25,478,7.3,976,1208,6180,12.7,688b4aa0ac5b675af127cf8f3c08e742ca7c9659,7138,7138,7120,0,0,206,0,107,119,64,2413,3.1,0,0,9,0,790,1.4,0,5098,33,1.45705E+12,0,78449,21454,898,702,42495,0,1864,0,0,5,6055,0,5,2230,,0.9,11445,1,15864,,,,,,21454,https://github.com/apache/directory-kerby.git,1864,178,0
2007-12-10T15:47:15Z,0,143,1847,10.4,1294,5042,26103,18.5,1698ec0c25b3496eb0037aad8d962d2d60af1e3a,13423,13423,13071,0,0,1456,0,195,2021,215,23402,10.8,0,0,10.6,0,1263,1.7,0,7670,132,1.1924E+12,0,217455,60180,3223,2286,114824,0,7240,0,0,5,23526,0,5,8770,,1.8,62716,1,49545,,,,,,60180,https://github.com/apache/directory-server.git,7240,351,0
2012-02-11T00:37:51Z,0,11,269,19.5,314,1766,8132,21.6,1dae7289006db4a528fb310307e80aaaa2ec7ff7,6137,6137,6126,0,0,200,0,51,375,57,7060,14.3,0,0,25.6,0,240,2.1,0,2914,23,1.25216E+12,0,49515,14976,577,1334,29558,0,2145,0,0,5,2696,0,5,1300,,1.5,13671,1,13091,,,,,,14976,https://github.com/apache/empire-db.git,2145,110,0
2013-11-14T06:46:57Z,0,12,502,12.7,277,936,1133,4.4,624259368a5108ebc515234ac780b29448f52ec4,3520,3520,3462,0,0,322,0,98,104,31,1197,3.3,0,0,15.4,0,229,1.7,0,2003,15,1.38439E+12,0,35981,14986,617,487,24909,0,1453,0,0,5,7642,0,2,260,,1.1,8383,1,11472,,,,,,14986,https://github.com/apache/falcon.git,1453,15,0
2012-01-20T08:43:56Z,0,0,0,,,0,,,e2e7cb99da91b9e031d3a8ff5e7bff86159c130f,,,,0,,0,0,,0,0,0,,0,0,,,,,,,0,,,,,0,0,,,0,0,,1,0,0,1,0,,0,0,1,,,,,,,,https://github.com/apache/felix.git,0,0,0
2015-12-28T19:27:20Z,0,26,1030,17.5,628,2388,15691,20.8,43f1b956a13cd8d1938fcafbe1ad79e06bee93ab,10988,10988,10943,0,0,757,0,95,199,80,4874,4.5,0,0,17.8,0,619,2.2,0,4907,47,1.45062E+12,0,109020,30166,1202,1632,59825,0,3664,0,0,5,11170,0,5,3310,,1.1,19768,1,25440,,,,,,30166,https://github.com/apache/flex-blazeds.git,3664,246,0
2014-06-16T04:03:44Z,0,88,3104,15.2,2641,18448,61732,21.3,552d52748ed863ab544e5c0022283887931ca149,40181,40181,39759,0,0,3891,0,189,712,210,20470,5,0,0,18.8,0,2139,2,0,20002,707,1.40277E+12,0,411175,106245,4925,12880,228297,0,22491,0,0,5,29929,0,5,10515,,1.5,104551,1,87398,,,,,,106245,https://github.com/apache/flex-falcon.git,22491,939,0
2017-03-17T10:54:11Z,0,180,7721,8.9,6275,17951,63722,14.2,ed18e976cc41d4d7335374cee7749e93a2fe3f3e,55972,55972,53860,0,0,4113,0,635,5046,867,66770,10.2,0,0,14.9,0,3758,1.8,0,29905,136,1.48964E+12,0,651627,220603,11647,12295,386109,0,28371,0,0,5,104272,0,4,33375,,1.7,199259,1,168980,,,,,,220603,https://github.com/apache/flink.git,28371,2699,0
2012-07-08T01:19:46Z,0,13,307,9,251,1034,2077,11.6,a8cf9fe6fead1dbc3ac89fb6bd0d53f451f04a3d,2262,2262,2118,0,0,214,0,40,132,23,1980,7.6,0,0,12.9,0,176,1.8,0,1187,28,1.33214E+12,0,25957,9358,588,544,15847,0,1387,0,0,5,3480,0,5,740,,1.5,6921,1,7244,,,,,,9358,https://github.com/apache/flume.git,1387,46,0
2009-06-17T21:58:28Z,0,21,326,9.3,313,676,4281,18,2ee46e892aadb08746f13a2c5d6b6a885ca1c8be,2921,2921,2815,0,0,158,0,40,95,39,2070,5.3,0,0,9.6,0,304,1.4,0,1947,9,1.24467E+12,0,39209,11223,507,384,19532,0,1079,0,0,5,3736,0,5,1445,,1.1,6654,1,8560,,,,,,11223,https://github.com/apache/ftpserver.git,1079,77,0
2007-04-04T23:42:48Z,0,168,3234,12.3,2199,10032,21058,12.2,e795a6eb971faa42c1ff14b09524da3ffd8c170f,27007,27007,26646,0,0,2345,0,352,904,402,25435,10.1,0,0,14,0,1923,1.8,0,15134,446,1.17411E+12,0,251795,84368,5827,4681,151434,0,13467,0,0,5,38602,0,5,3950,,1.7,75521,1,70008,,,,,,84368,https://github.com/apache/geronimo.git,13467,201,0
